ID,Username,City,Country,Date,Comment
102,david g,new york,None,28-March-2012,"Bingsheng is one of the top names in chinese cuisine in guangzhou, so we had pretty high expectations when we went. Food was by no means bad but it wasn't that good either. Could probably find plenty of ordinary restaurants with the same quality of food at much cheaper price and much better service. Reservations are not accepted (except for private rooms) and there was a big queue from before 6pm. The service was terrible even for china's standards. It was by far the worst service we've encountered for all of china.
For example, we were very thirsty after a whole day of walking and asked for cokes when we sat down at the table. They insisted that we order tea first and just wouldn't let us order coke just coz they wanted to charge for tea per person. Even when we promise to order tea later, they wouldn't budge. We had to say we would pay for tea no matter what until they reluctantly brought us cans of coke. As for food, their famous tofu was decent but we found most other places with the same kind of quality. Soup and fish head in claypot was also quite ok. but then again this kind of quality doesn't justify the wait, the price, and the suffering of the terrible service. The only things we found good were the goose intestine fried with soy sauce and the puffed up pineapple buns. a"
103,Tonelim,Kuala Lumpur,Malaysia,5-March-2012,"I visited this restaurant in Jan and had a bad experience and thought of give it another try and see if things have improved.....

I was wronged... very wronged! The service still terrible and dishes serving was extremely slow and painful. We ordered the usual items and never in my life I had to chase for 4 times for my food! If you are game for a stressful and painful dining experience, please visit this restaurant in GZ (Zhujiang or Tianhe Dong branch). The problem is that nobody cares in this restaurant, business is good so they couldn't care less.

Never will go again!"
104,Tonelim,Kuala Lumpur,Malaysia,31-January-2012,"This restaurant consistently serving delicious and tasty Cantonese cuisines. BBQ roast pork, homemade tofu, Steamed chicken with onion oil and pineapple buns are a must try! The only dissapointment was the service and dishes are slow to serve. One need to be patience when dine here (Tianhe or Zhujiang branch)"
105,tda7,None,None,28-December-2011,"Went to the branch in zujiang new town near the opera house. Excellent food, great aubergine dish and stuffed peppers. Definitely try the custrd tarts to round off your meal if you still have room. Would recommend for tasty, fresh food."
106,dewichen,None,None,24-September-2011,"Reasonable priced excellence food. Must order BBQ pork and pineapple buns. Go around 11am or 6pm to avoid the lunch and dinner crowd cause they don't take reservation."
107,A Tripadvisor reviewer on Facebook,None,None,31-July-2008,"Cantonese cuisine always popular"
108,Gigi_Gusteau,Bangkok,Thailand,29-December-2019,"Anyone into food that wanna try high end Cantonese cousine without spending a paramount, this place is a must.
We visited based on an online article and I am so glad I came across it. When we arrived at the entrance we thought this was going to be an expensive dinner but it is not the case.
The menu is very very extensive, their signature dish is the BBQ piglet, but if you arrive late in the evening you probably will miss it.
We ordered crispy and black BBQ pork, Roasted Goose, Eel Fried Rice and stir fry of veggies/dry fish + 1 beer. Everything was absolutely delicious to the point I can't pick my favourite dish we tried. The bill came at 398 CNY, we were shocked at the bargain and will be back several times to try other dishes."
109,JohnDS123,Singapore,Singapore,10-May-2019,"I came with some Chinese friends so they did the ordering. As far as I could tell no one was speaking English so it may be difficult to order if you don't speak Chinese. We got a private room for our meal which was good. They offered good quality French red wine for a decent price. We knew that we had to order the BBQ Pork and that was as delicious as I had heard it would be. But I didn't get to try the black pork which I also heard is great. Next time. We asked what the waitress recommended for the other dishes. They said we should order Pineapple Buns. This is a speciality at this restaurant but they went largely uneaten because no one was impressed by them. I could only describe it by saying it is a Chinese style bread roll and not really what most westerners would want for dinner. The goose dish we were recommended was excellent."
110,plau678,None,None,1-December-2018,"This restaurant is across the street from the East Gate of the Guangdong Museum. It is modern and clean. Food is good but the Pineapple Bun is not that good. I read a lot of review recommending the Pineapple Bun but I could not agree with it. The bun is huge (approx 4 inches in diameter and 3 inches tall). The bun itself is soft and the inside has a Pineapple filling. One order has 6 of these buns. The Pineapple Bun is no better than a local bakery in San Francisco or Toronto China Town. I would rather save the room of my stomach for other dishes. The Fried Cucumber dish is very good with a light batter on the outside and soft inside. Other dishes are not bad but not exceptional. I like the location because it is next to the Guangdong Museum. Reservation is recommended but not necessary (depending on time and day). We went on Friday for lunch at 1 pm and there were plenty of tables."
111,Jing L,None,None,30-October-2018,"Very good very delicious Cantonese food! I am a Cantonese was born in Canton. I can tell every Cantonese source they use for the dishes. I can tell whether or not they have top chef. This one is amazing! Excellent chefs!"
112,Ross-Lana-Daniel,None,None,16-October-2018,"Very good food - will come back again Menu in pictures - all easy to choose your order. Recommend this place AAAA++++"
113,yptay,Malang,Indonesia,9-October-2018,"We went to the branch near zhujiang River, after our visit at the canton tower.
They had changed their menu, and the soups are no longer on the main menu. Ask the waitresses what is available that day. We tried 2 soups, the silken tofu, geoduck, polo buns and scallops.

Spent About $330 for 2pax, definitely have to return again for a hearty meal."
114,curiousearthling123,None,None,7-August-2018,"Restaurant ambience is good. Every dish is delicious. Food is served quickly too.

We ordered roast pork, pineapple bun, fried fish (like fish and chips), tofu, fried eggplant, stuffed green peppers, fish soup, goose intestines, stir fried veggies.

My favourites are the roast pork, eggplant (white-ish rectangular pieces, 2nd photo), fish soup and the top of the giantic pineapple buns!

Bon appetite!"
115,spxcfc,None,None,28-April-2018,"This is a food institution in Guangzhou and a must visit in the city for all visitors, famous for its BBQ pork & Pineapple bund"
116,martinlK1530EZ,None,None,31-March-2018,"This restaurant is serving really good Chinese food. I really like the roasted goose and deep fried pork ribs. One negative thing is nobody speak English, so it is quite difficult."
117,kenyapp,Kuala Lumpur,Malaysia,20-February-2018,"Not sure if it was because of the holiday season, but you better make a booking at this place or you will have no chance of getting a table. Even with 4 floors of tables.
They are famous for their charsiew and their 'polo' buns. both of which are open to individual interpretation. Their version of charsiew is glossy, soft and is cut with a large proportion of fat. Sweet tasting and sticky. Some people like it, some don't.
Their Polo Buns (colloquially so called pineapple buns) really have some pineapple fillings and not plain bread like in Hong Kong.
The rest of the dishes are typical Cantonese. Service was decent, just don't order through the busboys, cause they are busy as heck and cant entertain you."
118,youke_worldwide,Singapore,None,3-January-2018,"So classic restaurant for entertainment. We all had private rooms and very grand lobby. A lot of good dishes like fried eggplant and the big buns. But a lot of the other food were too oily for me. Their BBQ pork was delicious but circled with a lot of sugar."
119,PamelaCheong,Marina Bay,Singapore,16-December-2017,"It is a locally famous Resturant in Guangzhou. If you love Char Siew- poem, this is the resturant that you can’t miss!
Love the food here. All Cantonese way of cooking. It is neither oily Nor too salty.

The ambiance is also good for business discussions.
Service is not the TOP notch. The waitress may be a bit loud when speaking. Guess this is local culture."
120,Alywin C,Singapore,Singapore,8-October-2017,"Our family of 4 plus grandma & grandpa had dinner here during our visit to Guangzhou. Overall it was quite good. The black char siew was fatty, oily goodness. The tofu stew with mushrooms was tasty enough. The surprising dish was the fried eggplant, which was crispy on the outside yet soft on the inside. We ended with a ginger milk pudding which was strong in taste but we, except the kids, enjoyed it.

Overall good place to try out Cantonese cuisine, it is popular do be prepared to wait."
121,Li Lin C,Singapore,Singapore,25-September-2017,"This is a popular place that comes highly recommended from locals. Prices are decent, if you order items such as seafood and sashimi then expect that it will cost more.

We took a long time to place our order as the menu is big and wide. Thankfully the items were also listed in english with lots of pictures to make things easier. The cuisine is cantonese, recommended dishes are their homemade tofu, charsiew and crispy char siew and chicken. Note the crispy char siew is very fatty so while delicious, a couple of pieces would be enough.

Service is good too. Our server was patient with us and recommended several dishes."
122,jeanc1027,None,None,8-August-2017,"Service upon entering is terrible. Basic in your face rude. Food was good a d cheap. Not sure I would fight the crowd or front receptionist to return"
123,tinyperson729,None,None,6-July-2017,"Our family in Guangzhou were experienced enough to get an early dinner reservation so we could taste the famed char siew. They told us that it wasn't as good as normal and to be honest, it was just average, but they told us that it's normally not like this so I recommend you still try it. My dad had gotten sick from another restaurant in zhuhai, so he wasn't supposed to eat anything beside rice congee, but he couldn't help himself to try just a little of the greasy char siew, so I guess it was still really good, maybe it just wasn't to my taste. The fried eggplant was perfect. I could not stop myself from taking one after the other. The pineapple bread/bun was delicious, it just lacked filling. There was a tiny dollop of what looked to be pineapple candy in the middle of a giant bun. The bread part was heavenly. The crispy fatty pork with sauce and sugar was my favorite. (Clearly, I didn't order the food as I have no idea what it was actually called, my apologies.) It had that perfect thin crispy skin on top with that melt-in-your-mouth fat and meat beneath. It wasn't hard at all, like some restaurants make it. The skin combined with the sauce and sugar made it taste a little like Peking duck. The service sucked. They were whispering and pointing at us when we left. They acted like we were being super annoying and bothersome. My nephew (3) ran down the halls and I had to chase him. The staff was really rude to him and us about it. He shouldn't have done that, but no need to be so rude! My sister needed to throw up and someone was in the bathroom in our private room. They were not caring at all and delayed in guiding her to a bathroom. She threw up in the toilet, but just barely. We received plenty of glares from the staff while walking down the hall to the elevator. We had to inconveniently pay at the front desk on the first floor. It took longer than necessary. There is a no smoking sign on the bulletin board next to the front desk, but you are apparently allowed to smoke on the first floor. What the heck? I can't read the Chinese caption below it, but a cigarette with a red x on it clearly means no smoking. Before I knew that, I complained to a waitress walking past on her phone. She laughed at me and told me that it didn't matter because something incomprehensible about public areas and whatnot. I DO NOT CARE. It was indoors and I do care about my health and the health of everyone else in that room filled with a cloud of smoke. I tried to hold my breath for the rest of the time and took a few gasps because it took so long to pay. The food is worth the terrible service but make sure to bring a mask with you."
124,travelbug0082,Singapore,Singapore,27-June-2017,"Our bill for 3 came up to Rmb400 which we thought was rather pricey for a lunch but this is a 5 Diamond restaurant so you can expect to pay a bit more. The food is nice and the restaurant is sprawling with 5 levels so do expect to wait a while for a table and for food to arrive. We did not get to try their huge po lo bao which comes in 6 per order as the wait staff forgot to submit the item but in the end we were so full that we would not have been able to stomach them anyway.

Their black charsiew is quite fatty so if you dont like fats, its best not to order it."
125,Familia A,None,None,14-April-2017,"We couldn't find it. But the restaurants around the area was so expensive. We move to a mall near by and find something to eat because we were starving."
126,Wendyzhou,Sydney,Australia,26-March-2017,"The menu is in English and there are plenty of photos so if you can't read Chinese you will be fine! This place has decent Chinese food and it gets busy so make sure you either go early or make a reservation. The only let down was The black roast pork is what they are famous for here but it was way too fatty. I literally had a mouthful of fat and it was sickening. The eggplant and pork mince pot was really good and the house made tofu was absolutely the best tofu I have ever had (and I hate tofu). It was silky smooth and so tasty!"
127,Prompalin S,None,None,15-March-2017,"This restaurant serve you a traditional Cantonese cuisine with Cantonese culture that make you feel like a true chinese . The signature menu in BBQ Pork or Charsiu Pork is the most delicious Charsiu pork in Guangzhou (My opinion)"
128,yingchua,None,None,3-March-2017,"Love the design & setting of the restaurant. Tastefully done up unlike many others Chinese restaurants in Guangzhou. Service could be better. Food is reasonably priced n well done."
129,emdrewl,Vancouver,Canada,13-February-2017,"Visited gz from hk for the very first time and was eager to try the Cantonese dishes here. The restaurant started calling us 15 minutes before our resos and called us again because we were a tad late (15 minutes late). It was definitely a popular restaurant with tons of people queuing so it's a must to make resos.

The menu was quite overwhelming. There were a few pages dedicated to the different tofu dishes! We ordered the fried char siu that everyone raved about. The flavor was amazing but similar to all mainland dishes, it was overly oily and fatty.

Overall I think this restaurant is a bit overrated with poor customer service."
130,Kathleen_Leong,Singapore,Singapore,2-January-2017,"Food and services were good. We ordered some signatures dishes and it was highly recommended especially they served different type of tofu and their roasted black pork was awesome. Roasted goose skin was crispy but too fat as there was less lean meat. Overall it was very tasty."
131,Dieter A,None,None,28-November-2016,"Enjoyed in the restaurant a business dinner. Good food, good selection (by my host). good and classical cantonese ambiente"
132,wongkristenp,New York City,New York,22-November-2016,"We ordered the signature lacquered pork, the crispy pork, goose intestines (surprisingly really good), roast goose, a steamed black tofu dish, steamed catch of the day, crab and vermicelli, pineapple buns and a couple of veggie dishes. The crab and vermicelli was a waste of money. For almost $40 Usd, you get a big wad of vermicelli and one crab. Everything else was fabulous. The steamed fish is a must have if you are not afraid of eating fish with bones attached. The lacquered pork is the best pork I've ever tasted in my life. I asked for the leaner part since I wanted to spare my arteries a bit. It's a bit silly that the minimum order of the pineapple bun is half a dozen but since everyone in the restaurant was ordering it, we just had to see what if they are really that good. Three adults and two kids each shared one. Ended up taking the rest home as breakfast for the next day.

The service really needs to be amped up however. We visited the Wufeng branch and the Tianhe (flagship store branch). The decor of the Tianhe branch was much nicer but both locations lacks good service and did not take any foreign credit cards. The menu was extensive but the English translation was atrocious! For a big franchise to have a menu of such poor quality is very embarrassing in my opinion. I guess the owner doesn't really care for non-Chinese diners because I doubt any foreigners would order  Soil pork potato mustard pot . It was very funny to flip through the menu as a Chinese American with limited Chinese character recognition.

Food wise, I would definitely recommend going but if you are looking for an unforgettable experience with exceptional customer service, you will be highly disappointed."
133,53leee,None,None,17-November-2016,"We visited on 14 Nov 2016 at dinner time. Ordered the blueberry BBQ pork, tofu, sizzling claypot intestines and stir fried Tainan beef. It was very tasty and the setting has a nice ambience. Paid around rmb319 and definitely worth visiting."
134,Cristina F,Hermosillo,Mexico,28-October-2016,"Service,food and place were all good! When we arrived downstairs,there was a lady taking care of our wet umbrellas, and gave us a little paper.
We went up by elevator, and were greeted by a waitress, who took us to our table. The restaurant felt like a wedding salon, with round tables and big rooms. They have an english menu so you dont have to get worry about what to order. The lady served us tea, and we pointed out which dishes we wanted, and she filled a little paper which was in chinese and didn't understand haha.
We ordered: char siew, crispy noodles with beef, crispy fried pork with orange sauce and steamed rice with pork sauce.
The char siew, this its super greasy but delicious! Melts in your mouth.
Crispy noodles: the best noodles I've had so far.
Crispy fried pork: The sauce was average, but the fried pork had a very nice consistency. It felt like crispy in the outside, but chewy in the inside.
The sauce of the steamed rice was delicious too, full of flavour.
Overall, I liked all dishes and would return here for char siew.
This is more on the expensive side for a China restaurant, but its worth it."
135,lifeelsewhere,Kuala Lumpur,Malaysia,22-October-2016,"Took us a while to find it but it was worth it.We did not have the exact address. Pls take a taxi with the exact address! We wanted to go the night before but was told that it was full and best to arrive 5.30pm the next day. The roast goose was so good! crispy skin and good taste! They have unusual but good dishes. Pricey place but ask for a seat with a view of Canton Tower."
136,ChinaCarolina,North Carolina,USA,29-September-2016,"The restaurant offers a bounty of Cantonese style dishes, flavourfully prepared and attractively presented. Among other dishes, we ordered a garlic & ginger roast fish, two styles of roast pork, stir-fried bean sprouts, and a lightly-fried eggplant dish. Although our pork selection was a little oily (by design) it was delicately textured and full-bodied in flavour. The roast fish in a clay (or iron?) pot was delightfully tender and infused, but not overpowered by the seared garlic and ginger. Among our party of four, one was a vegetarian and, after an initial sampling, basically fended off all other pretenders to the bean sprouts (they were that good).
Actually, the bean sprout turf war led to the only deficiency we experienced. We asked for an additional serving of the same bean sprout dish and it appears that the first server either ignored or forgot our request. After about 20 minutes we asked another server who, it appears, put in our order. Another 15 or 20 minutes passed as dinner was winding down and we asked once again. This time we were told that it was coming, but we asked to turn it back because it was no longer wanted. At this point we were told that it was too late- it would be served to us, like it or not and that we had been told that it would take 20 minutes preparation when we placed the order. Our protestations that nothing of that sort was said to us fell upon deaf ears - we got the second plate of sprouts 10 minutes after finishing our first round. Probably the rating could have been a five had this been handled a little more graciously.
Throughout dinner we observed several neighbouring tables receive platters of beautifully bronzed, puffy confections that, to our eyes looked like  bread bowls  for serving hearty soups. These turned out to be  boluo bao  (or pineapple dumplings). The kind young couple at the next table had more than they wanted and generously offered us their extras. Though they were physically large, they were delightfully light and pleasant to the eye, to touch and to taste.
We ate in one of the main open dining rooms next to a large window overlooking the street. Though the floor was busy and full, it was surprisingly not crowded or noisy as, it seems, many Chinese restaurants value. Our party were all business associates, but having a social dinner and the noise level was quite satisfactory for a pleasant conversation.
The overall price of the meal was quite reasonable for the quality and variety of dishes we enjoyed. All four members of our party (one of whom  doesn't like Chinese food ) would all return if given the opportunity."
137,aileen_cp,Singapore,Singapore,1-September-2016,"Ordered their signature roast goose and black char Siew ( requested for the lean cut) else will be overly oily. Other dishes like fried brinjal with Long beans n stuffed lotus root , tofu in Claypot , were good. The buns were amazingly pillowy soft with just the right amount of fillings ( though my friends felt they could be more generous with the fillings). We had a good view of the iconic Canton tower while enjoying our food."
138,HKG_Traveller2010,Hong Kong,None,20-May-2016,"Recommended by a friend to try their flag-ship shop at ZhuJiang New Town, and am glad that I did go. The restaurant has private rooms of varies sizes and thus offers lots of privacy.
Food is great, nearly all the courses I ordered turn out to be great; particularly their crispy roast pork fillet..... Need to try; you won't regret. Great value for money too..... less then RMB200 per person which I consider to be great value for the quality of food they offer."
139,LeeB0b,None,None,12-May-2016,"Great foo served- we have tried the brinjals - (deep fried till crunchy), fish with garlic with another new dish you have to try, fried duck and nice roasted pork."
140,zomayoyo,France,None,28-April-2016,"It's a famed Cantonese restaurant, but the quality of dishes varies between heaven and hell.

The best dish is certainly its fried rice (chow fan). Each piece of rice is meticulously wrapped with a thin layer of oil, mixed with sliced fried egg white that gives a unique mouthfeel. Its oiliness is well balanced, and the texture of rice is ideally firm. It's one of the finest versions comparable to that from Lee Garden or the Chinese Restaurant in Grand Hyatt Hong Kong.

The Cantonese chicken dish also meets my expectation. It's medium cook. The flesh is succulent. It's above average at best.

BBQ pork is a horror. Pork belly, instead of pork shoulder, is used. That's the worst cut of BBQ pork I could imagine. It feels like drinking a cup of oil. The meat is charcoal dry.

Inside the soup served in a teapot is a herd of scorpions (See my photo) which are used in TCM to sooth muscle pain and improve blood circulation. The problem is that the soup has a strong artificial Gaotang/chicken sauce flavour. It smells chemical and artificial.

Staff were nice and smiling, but threw everyone into confusion. A spoon or chopsticks or a teacup were missing in all of our table sets. Some dishes didn't come. They served us a cup without tea, then served us tea without giving everyone a cup. Don't blame the staff who worked so hard and busy, blame the management who didn't hire more staff."
141,Wilson P,None,None,23-March-2016,"The food and service was amazing, some of the best Cantonese food that I've ever eaten. Knocked down star because most of the food came out warm/cold."
142,johncque,Iloilo City,Philippines,9-March-2016,"I love how a lot of their dishes are served in a claypot. Been here twice and the food never fails to disappoint. The servers are a little bit hard to call, but once you get their attention, they are quite attentive and very professional. The menu has photos and also English text, so choosing your food is never a problem. They have four kinds of specialty roast and barbecue pork which you can combine any two in one order. Their chicken is also excellent. This place specializes in seafood and they have so many varieties. I will eat here again."
143,Syarifuddin T,None,None,8-February-2016,"Almost all the dishes here are very good. The famous pineapple toast and the french toast with barbequed pork inside is very tasty and a must try!!! Try the fresh prawns too..the waiting time during lunch or dinner time is around 30-45 min so be sure to go there earlier"
144,G7823URdanh,Torrington,Connecticut,3-February-2016,"A good assortment of traditional Guangzhou style food. All the dishes came out very quickly and tasty. Good size plates, not too big or too small. Prices are reasonable. Is this the best Chinese food i had? No but a fairly popular place that does really good business and, as mentioned earlier, tasty food."
145,alvinloy,None,None,2-November-2015,"Ambience: The restaurant is greeted by a grand entrance that leads to 4 floors of nicely decorated dining space.

Waiting time: I did not have to wait and was given a table upon arrival.

Choices: A huge variety spread across 4 menus. Prices of dishes range from affordable to above average.

Recommendations:
Once we were seated, servers pushed carts with beverages and appetizers for us to choose from.

Roasted goose: Not bad but I find it slightly salty.

Pan-fried dumplings: A plate of 15s. The dumplings are really small but tastes good.

Fried goose intestines: This is my favorite dish. I enjoy the crisp texture.

Coldwater shrimp: Tastes average which I think is due to the quality.

Char siew: Roasted to perfection: charred on the outside but still succulent on the inside. It's very good but I think the meat has too much fat to be able to consume more than two pieces.

Stir-fry Beef Short rib: Tastes average, a little too sweet.

Steamed egg with crab roe: The strong flavor of the crab roe complements well with the soft texture of the egg.

Po Luo Buns: It comes in a serving of 6. It's one of the biggest buns I have ever seen in my life. Apparently, this is one of the most popular item. Waiting time is 30 minutes."
146,kalapangha,New York City,New York,1-November-2015,"We went there around 9:30pm. All famous things on the menu like bbq pork, some tofu dishes, fried glutinous rice ran out. After planning to come here a month in advance, we did not get to try them. :( So make sure you get there early. How early? No guarantee. Maybe just go for lunch.

We could only order 2 dishes which are steamed carps in ginger and soy sauce and steamed dark tofu in gloderma (whatever it is) and soy sauce. The flavor for both of them was very delicate. But the fish has a lot of bones, not recommended if you're a Lao Wai/ Guai Lo. Wait staff cannot communicate in English but they're very attentive (when they see you call). Just like any Asian restaurants, you kind of have to get their attention , honey. Price is relatively high!"
147,Bwkuah,Singapore,Singapore,19-September-2015,"Food was highly recommended, the pineapple buns were good. Some of the shunde dishes were interesting and very enjoyable. Alas the service was so bad, big chain, multiple storeys, repeated attempts to get beer delivered, poured sauce onto my phone while serving, took forever to prepare bill and all this when we had our own private room. Convenient location near prime hotels but will think twice again. 2000rmb for 9 guys."
148,Hiroaosta,None,None,12-August-2015,"This restaurant offer good Cantonese cuisine. You can enjoy various types of cuisine. Unfortunately the service is not so good. So good to eat a friend. But the meal with customers, it is not well suited"
149,WorldTravelerX929,Vancouver,Canada,8-June-2015,"This place was recommended by local friends the last couple years. There are several floors but very obvious shortage experienced staff. It was hard to get anything... water, menu, or even the bill. But the food was very mediocre. BBQ goose was not as good as I expected. The executions and colors were very lacking."
150,ryanteo,None,None,14-May-2015,"The deco and ambience of this restaurant make you feel comfortable and relaxing. That makes it a good place for an excellent meal with family, friendly and business associates. Service standard can sometimes be affected by high volume of patrons at peak hours."
151,MinnieY_13,San Francisco,California,13-January-2015,"So they say that Bingsheng is the ultimate Cantonese restaurant in guangzhou, the epitome of Cantonese style food.

I have been to this Bingsheng like 5 times in 2 years. The first few times I was the guest so I thought maybe the host didn't order right, I simply did not find the food to be exceptional as its reputation. After hearing my sister-in-law raging about it, I thought I did give another try & let my father ordered while I host. Still no feeling of epiphany or burst of culinary delight whatsoever.

Finally host another dinner while my brother was in town. This time something clicked - we ordered really simple dishes - and the food was indeed delicious.

However, the service is deplorable for such fine dining establishment. It takes 30 minutes & repeated calls to just get a wine menu. My daughter was starving so we ordered her a simple noodle dish to temper the wait. After half an hour, the waiter told us the kitchen didn't know how to make the noodle. Huh?"
152,xxiao12,Springfield,Massachusetts,19-May-2014,"Thigh the first place for me and I'll see if they want you in your room is that ok well as much more fun with that, I think it's a bit too many times. you have to have been able the other side effects and a few minutes. you can follow us know what I want a ride with me to do something"
153,enson l,None,None,26-February-2014,"great food. nice ambience. great service. well recommended. definitely will be back again. the price is very competitve and affordable. n this restaurant is easy to find."
154,PushExplore,None,None,18-June-2019,"The ambience, food and the service here was pretty good. We had to wait a bit to be seated though. Loved the dishes and the quality."
155,Laxiaozi08200912,None,None,1-June-2017,"I tried the belt fish fried as well as the delicious meat pies available every occasion in the place! They sell it very quickly, therefore, I had to arrive early to get it"
156,Chun pang L,None,None,15-November-2014,"It's beyond expectation that can find a Chinese cuisine preparing good quality dim sum, non oily but very crispy fried rice, Aldo you are not affordable to miss their Peking duck, which they served and wrapped for you. Even the flour wrap was put on stove to keep warm along the way to wrap, each wrap goes with every designated season and vegetable are of right portion. I seldom eat Peking duck, but the quality there really attract me take some more."
157,rhiat,San Jose,California,8-November-2014,"Had a light meal at Cui Yuan last month and the food was great. Staff was well-trained and attentive, which is refreshing after having been to several other restaurants in Guangzhou with very frustrating staff.

We loved our orange cake dessert (the one with the beautiful golden sugar ball on top)."
158,sunny9518,None,None,6-February-2014,"there are so many persons lining during the dinner time, and we are prebook twice to find a table. i was shocked by the menu, the price is much higher than others. anyway, each dish is delicious and worth the money! we like the duck,the rice"
159,travelbug0082,None,None,18-March-2019,"We love the dim sun here its probably one of the best in Guangzhou. The variety is good and the ingredients are fresh. Try to go off peak hour then there is no queue."
160,Lady_Snowhawk,Greater London,United Kingdom,10-December-2017,"Came here with my aunt in law on our second evening in Guangzhou-an amazing atmosphere. It's quite noisy because it was basically full even at 10pm but service was still super fast and efficient.

This place does basically everything, as well as some more unique dim sum choices you can only find in Guangzhou, such as Red Bean Fried Doughballs (Hong You Tiao). Everything was incredibly delicious, arrived very quickly and it was very reasonable for central Guangzhou. Right next to a big shopping centre, I highly advise coming here as it is basically open all day, since they eat so late/early in Guangzhou."
161,Alywin C,Singapore,Singapore,8-October-2017,"Our family of 4 plus grandpa & grandma enjoyed the dim sum here. We ordered most of their recommended dishes as indicated on the menu and were very satisfied with what was served.

We had to literally grab them to get any service, but the food made up for it."
162,Mei-Mei K,Estero,Florida,15-August-2016,"We walked across town from the wonderful Marriott for our second dinner dim sum.

Like many other restaurants, there are no English markings on the exterior (or interior) - this is tucked in the building labeled the Xi Yue Hui Confinement Center.

The waitresses will dig up a semi-English version of the order form once they realize you're trouble. (Note the two columns mean yes I want and no thanks.) We loved the bustling atmosphere, the tea service, eyeing what the nearby diners were eating, and the delightful presentation of the soup dumplings. All the standards were great, too--in fact, the har gow was among the most luscious I've ever had."
163,JCMY76,Singapore,Singapore,8-December-2019,"Delicious dim sum, especially the red skin rice roll and new lychee puff. Each dish cost between 16-30 yuan. We visited twice, once on Sun afternoon and another on weekday morning. It seems the cost is lower by 1 yuan per dish on weekdays and there is a 15% discount if payment before 11am."
164,P6699PY_,None,None,3-December-2019,"Great place to eat local Guangzhou food. The prices are moderate. Dim sum is one of the best I tried. But, only one little thing. Can you make the menu in English, please? Thanks😌"
165,purple-lallang,Singapore,Singapore,4-November-2019,"We came for breakfast on a Sunday (opened at 8am). Basically one just walked up to the 1st floor and chose your table (according to your group size), unlike other restaurants where you would be guided to a table ( this was my experience at this restaurant).
The serving portion of each dim sum item is big, thus do not over order if you were only 2 pax. Ordered some of their signature items and found it average taste wise, as I had eaten better dim sum in GZ, though price wise it is affordable."
166,Paul E,Adelaide,Australia,31-October-2019,"This place was amazing. It was recommended to us by a local and I have to say, is one of the nicest restaurants that I have eaten in. The food was amazing in all aspects. We ordered (and ate) way too much but it was all so good. The staff were very obliging and we all had a good laugh with the language barrier but still the dishes were all yummy. They don't sell beer so they allowed us to go next door to the beer shop and buy some to have in the restaurant. If you do one restaurant in Guangzhou, make it this one. You will not be disappointed and the prices are just ridiculously low."
167,WeiTan48,Singapore,Singapore,28-September-2019,"Despite being a packed restaurant each time we were there, we got our table pretty quick as they have several floors with plenty of seats. We loved the great selection of dim sum items, especially the red rice roll (made of brown rice I think) that was rolled with the dough fritters. We ordered more than 10 dishes for the 2 of us, and as expected, couldn't finish them. However, we even saw another guy who came alone and ordered as much! Seems like there's a tendency to order too much, as there's just too many mouth-watering dishes to try!"
168,228tanyah,None,None,24-August-2019,"Reasonably priced dim sum restaurant chain with English menu, delicious tea and good service. The Durian dessert was a special surprise."
169,193evelinev,Jakarta,Indonesia,17-August-2019,"First you have to get Table Number at 1st floor. Then go to 2nd floor to get the table. They have english menu but only 5-6 picture there. They using barcode for online menu but i cant open it. I can say mostly the food is delicious. The staff cant speak english but they really helpfull. You can take the Picture from the review and show it to them and they will help you to order. The Portion is BIG. I can say its Huge. So dont order too much overall its good."
170,NGLS26,Indonesia,None,29-July-2019,"I always tried the local DIMSUM while travelling in China, but not dare just simple to try any restaurant, as i have bad experience before.
They served the large size of the DIMSUM with fresh ingredient. we both ordered 7 portion... All are tasty except the noodles, i think it is just simple noodles fried with soya sauce only.

I like the atmosphere and the LOHAN GUO TEA, it really nice....
quick service . Reasonable price"
171,Rob_around_the_globe,None,None,18-May-2019,"Very nice restaurant for dim sum. Lot of different types. Nice authentic experience, we did enjoy it a lot! Highly recommended!"
172,925matani,None,None,15-April-2019,"All we ordered was delicious and special. Staff do not speak English but are very kind. Im recommending you using google translate, bring forks from hotel and most importantly, point on others dishes, ask other young locals who sits next to you, or show the attached great photos.
Fun and special dishes are promised"
173,lktzu1489,None,None,14-April-2019,"Guangzhou has many restaurants serving tim sum, and we tried few recommended restaurants but find DianDouDe better one. The serving is right size and prices are reasonable. We liked the custard bun."
174,erwinsanthio,None,None,16-January-2019,"I will always come to this place when i come to guangzhou The food is very delicious as well as the tea. The price is also affordable. A must try restaurant"
175,MANDACHEN,Selangor,Malaysia,13-December-2018,"Diandoude Jufulou at Huifu East Road: One of the upmarket dim sum restaurant in Guangzhou, also has other chain restaurants in the same city, good varieties and decent price. No waiting as we went there around 10.30am. Highly recommended as the dim sum is tasty and the restaurant is clean and comfortable."
176,WH_Liang,None,None,22-November-2018,"Visiting GZ will not complete if one don't taste the good guangdong dim sum. The dim sum here is nice, of big portion and affordable. The place is comfortable and must try the specialities."
